delay_location|coordinates
QUEEN QUAY EAST OF SPADINA|(43.6527581, -79.398087)
LANSDOWN AND QUEEN|(43.6406044, -79.43664609999999)
SPADINA & QUEENS QUAY|(43.6487579, -79.396276)
ST.CLAIR WEST STATION - SPARE TRACK|(43.6841895, -79.4154172)
KING AND SPADINA EB, KINGAND YIRK WB|(43.6455235, -79.3825551)
DUNDAS @ UNIVERSITY|(43.6548133, -79.3884774)
SPADINA & ST. ANDREW|(43.6543785, -79.39873)
PARLIAMENT AND QUEEN|(43.6549833, -79.36390279999999)
QUEEN AND LISGAR|(43.6432413, -79.423591)
DUNDAS @ BATHURST|(43.6522958, -79.4060126)
APPROACHING DUNDAS WEST STN|(43.6568393, -79.45333409999999)
ENTERING DUNDAS WEST STN|(43.6568393, -79.45333409999999)
DUNDAS @ LANSDOWNE|(43.6501696, -79.43974519999999)
DUNDAS @SHERIDAN|(43.5106999, -79.6946094)
QUEEN ST. EAST AND LOCKWOOD AVE.|(43.6679932, -79.3092005)
QUEEN ST. WEST AND SPADINA AVE.|(43.6487579, -79.396276)
BROADVIEW & DUNDAS|(43.6624664, -79.351366)
QUEEN & CONNAUGHT.|(nan, nan)
QUEEN & BROADVIEW|(43.6588399, -79.35064469999999)
GWERRARD & PARLIAMENT|(43.66194780000001, -79.36702509999999)
GERRARD & PARLIAMENT|(43.66194780000001, -79.36702509999999)
ST.CLAIR W. AND LAUGHTON|(43.6746509, -79.4575967)
ST. CLAIR W STATION.|(43.6841895, -79.4154172)
BATHURST/ADELAIDE|(-34.9284989, 138.6007456)
BROADVIEW AT DANFORTH|(43.6762135, -79.3588475)
BROADVIERW STATION|(43.6769104, -79.3581849)
EARLSCOURT ANS ST.CLAIR W.|(43.6770415, -79.44744550000001)
QUEEN AND VICTOIRA|(43.6525574, -79.3782876)
COLLEGE AND RUXTON|(nan, nan)
UPPER GERRARD & BEATEN ST|(nan, nan)
BATHURST/WELLINGTON|(43.893229, -79.4693962)
GUNNS LOOP TO ST.CLAIR STATION|(43.671913, -79.47184)
ST CLAIR STATION TO ST. CLAIR WEST|(43.6874845, -79.3930467)
COXEWELL & GERARRD|(43.6753569, -79.32028249999999)
KING AT JOHN|(43.256068, -79.866919)
DUNDAS WWEST STN|(43.6568393, -79.45333409999999)
QUEEN AND BATHURST|(43.6471969, -79.4039809)
QUEEN AND MCCAUL|(43.6501631, -79.3896872)
ST CLAIR W ST.|(43.6770883, -79.4465923)
QUEEN AND POWER ST.|(nan, nan)
QUEEN  AND POWER ST|(nan, nan)
KING AND GEORGE ST|(nan, nan)
QUEENS QUAY LOOP|(43.6382515, -79.3895182)
MARMADUKE AND RONCENVALLES|(43.6504594, -79.45065430000001)
KING AND JOHN|(43.646602, -79.389763)
SPADINA AT NASSAU|(43.6558393, -79.3993082)
ST. CLAIR AT OLD WESTON RD.|(43.6734439, -79.4629927)
DUNDAS AND VICTORIA|(43.5106999, -79.6946094)
MAIN AND U. GERRARD|(43.6708856, -79.3280752)
JARVIS AND KING|(nan, nan)
QUEEN ST. EAST AND MACLEAN ST.|(43.644334, -79.4180164)
QUEEN ST. EAST AND LEE AVE.|(43.6704795, -79.2979806)
SPADINA  AND QUEENS QUAY|(43.6487579, -79.396276)
KING AT RONCESVALLES|(43.6387919, -79.4461334)
DUNDAS AND CHURCH|(43.6565, -79.3771328)
COLLEGE AND CLINTON|(nan, nan)
COLLEGE AND SPADINA|(43.6527581, -79.398087)
QUEEN ST. W. AT DUFFERIN.|(43.642226, -79.4286137)
SPADINA STATION|(43.6671711, -79.40435339999999)
LAKESHORE BLVD. W. AT LONG BR. AVE.|(43.59438410000001, -79.5339748)
EASTERN AVE AND LEWIS ST|(43.6564737, -79.3475167)
SPADINA AVE. AND SULLIVAN ST.|(43.6508824, -79.3973219)
QUEEN AND LANSDOWNE|(43.6406044, -79.43664609999999)
BATHURST/FORT YORK|(43.893229, -79.4693962)
SPADINA/FRONT|(43.6427164, -79.39403539999999)
RONCESVALLES AT HOWARD PARK|(43.6514994, -79.4510634)
ST CLAIR W AND VAUGHN|(43.6827095, -79.4200063)
MT DENNIS GARAGE|(43.694128, -79.49431899999999)
ST CLAIR AND OAKWOOD|(43.6794987, -79.4358172)
QUEEN & LOGAN|(nan, nan)
DUNDAS AT LANSDOWNE|(43.6501696, -79.43974519999999)
LAKESHORE BLVD. W. AT PARK LAWN.|(43.6229412, -79.48128059999999)
SPADINA AVE. AND DUNDAS ST.|(43.65291269999999, -79.39815469999999)
QUEEN ST. EAST AND COXWELL AVE.|(43.6663331, -79.3165649)
QUEEN AND GREENWOOD|(43.6512846, -79.382263)
SPADINA AND LAKE SHORE|(43.6385364, -79.39212959999999)
DUFFERIN AND COLLEGE|(43.652555, -79.4325456)
SPADINA AT WILLCOCKS|(43.6613272, -79.4012928)
QUEENS PARK AND COLLEGE|(43.659884, -79.390349)
QUEENSQUAY LOOP|(43.6382515, -79.3895182)
RONCESVALLES @ MARION|(43.6410636, -79.447028)
UNIVERSITY @ COLLAGE|(43.659884, -79.390349)
QUEEN ST. E. AT CONNAUGHT|(43.6650248, -79.32236)
QUEEN ST. E. AT CARLAW|(43.6609244, -79.3402821)
GUNNS LOOP - ST.CLAIR AVENUE|(nan, nan)
BATHURST AND ROBINSON|(43.893229, -79.4693962)
QUEEN AND SIMCOE|(43.6506493, -79.38743509999999)
COLBORNE LODGE AND QUEENSWAY|(43.639606, -79.4595894)
LONG BRANCH TO NEVILLE|(40.30427780000001, -73.9923596)
DOVERCOURT AND QUEEN|(43.64347859999999, -79.4223717)
LOUISA AND LAKESHORE|(nan, nan)
COLLEGE ST. AND LANSDOWNE AVE.|(43.6509771, -79.440017)
BROCK AND COLLEGE|(nan, nan)
QUEEN/BROCK|(nan, nan)
DUNDAS AT YONGE|(43.656325, -79.38090299999999)
DUNDAS AT OSSINGTON|(43.6493394, -79.4207678)
HIGHPARK  LOOP|(43.6490988, -79.4560945)
GUNNS LOOP AND ST.CLAIR AVENUE|(43.6718533, -79.4711359)
QUEENS QUAY AND YO YO MA LANE|(43.6373796, -79.3943422)
JARVIS & CARLTON|(43.6597077, -79.3755739)
LANSDOWNE LOOP|(nan, nan)
MARKLAND DRIVE AND BLOOR|(43.6335645, -79.5707619)
QUEEN ST. EAST AND SCARBOROUGH BEACH RD|(-31.9054616, 115.8081414)
LAKESHORE BLVD. AND KIPLING AVE.|(43.5982045, -79.5169695)
LAKESHORE BLVD AND KIPLING AVE.|(43.5982045, -79.5169695)
LAKESHORE AND ROYAL YORK|(43.60367, -79.4931515)
BATHURST/COLLEGE|(43.65418, -79.4071017)
KING AND UNIVERSITY|(43.6472532, -79.3866709)
QUEEN AND SHERBOURNE|(43.661228, -79.3722185)
QUEEN AND COUGHNAT|(nan, nan)
DUNDAS AT SUMACH|(43.660655, -79.36047520000001)
UPPER GERRARD AND COXWELL|(43.6753569, -79.32028249999999)
KING AND SHERBOURNE|(43.661228, -79.3722185)
BROADVIEW STATION TO DUNDAS WEST STATION|(43.6568393, -79.45333409999999)
CARLTON AND YONGE|(43.6613798, -79.383101)
QUEEN ST. WEST AND WILSON PARK RD.|(43.6394457, -79.44249429999999)
BATHURST/COLLGE|(43.65418, -79.4071017)
SPADINA/NASSAU|(25.0443312, -77.3503609)
COLLEGE AND GLADSTONE|(43.655364, -79.4320272)
BINGAM LOOP|(43.681553, -79.284714)
KINGSTON RD AND DIXON AVE|(43.6699496, -79.3111773)
KINGSTON RD AND DIXON AV|(43.6699496, -79.3111773)
BROADVIEW TO DUNDAS WEST STATION|(43.6769104, -79.3581849)
ST. CLAIR AND WINONA|(43.680195, -79.4324721)
SPADINA AVENUE AND QUEENS QUAY|(43.6487579, -79.396276)
KING & YORK TO BINGHAM LOOP|(43.681553, -79.284714)
UNION LOOP|(nan, nan)
QUEEN ST. WEST AND DOVERCOURT RD.|(43.64347859999999, -79.4223717)
COLLEGE AND BAY|(43.6608355, -79.3858556)
QUEENS QUAY/FORT YORK|(43.6382515, -79.3895182)
QUEEN ST AND KENT RD.|(43.6655603, -79.3200013)
QUEENS QUAY/FLEET|(43.6441304, -79.3684435)
QUEEN AND OSSINGTON AVE|(43.644171, -79.4188508)
SPADINA/DUNDAS|(43.65291269999999, -79.39815469999999)
KING AND VICTORIA|(43.1484402, -79.39227720000001)
CHURCH & WELLINGTON|(-41.2923814, 174.7787463)
SPADINA AT FRONT|(43.6527581, -79.398087)
U. GERRARD AND COXWELL|(43.673334, -79.319706)
QUEEN ST. EAST AND GRANT ST.|(43.6591709, -79.3484773)
RONCESVALLES AT GALLEY|(43.6428251, -79.44770670000001)
RIVER STREET AND QUEEN ST. EAST|(43.6573601, -79.3565295)
JAMESON AND KING|(43.637178, -79.436008)
SPADINA/SPADINA CIRCLE|(43.6527581, -79.398087)
QUEEN ROUTE|(nan, nan)
ST CLAIR W.STATION|(43.6841895, -79.4154172)
DUNDAS WEST STATION TO BROADVIEW STATION|(43.6568393, -79.45333409999999)
QUEEN ST. W AT MARKHAM ST.|(43.6469542, -79.4052033)
SPADINA STATION TO UNION STATION|(43.6671711, -79.40435339999999)
SPADINA/QUEEN|(43.6487579, -79.396276)
MAIN AND GERRARD|(43.6841689, -79.3005919)
ST CLAIR STATION TO GUNNS LOOP|(43.6874845, -79.3930467)
LESLIE AND QUEEN|(nan, nan)
QUEEN ST. E. AT JONES.|(43.6637879, -79.3278595)
ST CLAIR AND DEER PARK|(43.687346, -79.3980646)
LAKESHORE BLVD. W. AT LOUISA.|(43.6328215, -79.4363268)
BINGHAM LOOP TO KING & YORK|(43.681553, -79.284714)
KING AND CLOSE AVE|(43.6374494, -79.4346958)
RONCENVALLES AND KING|(43.6387919, -79.4461334)
UNIVERSITY AND COLLEGE|(nan, nan)
DUNDAS AND BELLWOOD|(43.6509293, -79.4128078)
QUEEN STREET WEST & MCCAUL|(43.6501631, -79.3896872)
LANDOWNE AREA|(43.659325, -79.443169)
DUNDAS WSEST STATION|(43.6568393, -79.45333409999999)
WOODFEILD AND GERRARD|(43.671821, -79.3239708)
KING AND PARLIEMENT|(43.65420599999999, -79.36097459999999)
KINGSTON RD AND WOODBINE|(43.6739334, -79.3079266)
KINGSTON ROAD AND WOODBINE AVE|(43.6739334, -79.3079266)
HUMBER TO NEVILLE|(43.7288232, -79.6065799)
QUEEN ST. E. WEST OF SHERBOURNE.|(43.6637879, -79.3278595)
BIRCHMOUNT GARAGE|(43.7063048, -79.2691598)
QUEEN ST. W. WEST OF DUFFERIN.|(43.672279, -79.77471899999999)
RONCENVALLES AND GEOFFERY|(43.6480554, -79.4497252)
BATHURST AND LAKESHORE|(43.6364119, -79.3996935)
QUEEN AND AUGUSTA|(43.6480658, -79.39964859999999)
YONGE AND ST CLAIR|(43.6872114, -79.3979925)
SPADINA/QUEENS QUAY|(43.6382515, -79.3895182)
QUEEN/RONCESVALLES|(43.6406044, -79.4366461)
QUEEN/OSSINGTON|(43.644171, -79.4188508)
BOWMORE AND UPPER GERRARD|(55.75689999999999, -6.29)
QUEENSWAY/RONCESVALLES|(43.6253329, -79.5072058)
BRODVIEW AND DUNDAS|(43.6624664, -79.351366)
QUEEN ST. W. AT JAMESON|(43.6404714, -79.4372735)
QUEEN ST. E. AT BROADVIEW|(43.6637879, -79.3278595)
QUEEN ST. E. AT GREENWOOD|(43.66422250000001, -79.3255717)
QUEENS QUAY AND YORK|(43.6400699, -79.38020019999999)
QUEEN QUAY AND YORK|(43.6400699, -79.38020019999999)
SACKVILLE  AND QUEEN|(nan, nan)
DUNDAS WEST STNT TO BROADVIEW STN|(43.6568393, -79.45333409999999)
FLEET ST. AND STRACHAN AVE.|(43.6361837, -79.4095991)
LAKE SHORE BLVD. AND SUPERIOR ST.|(41.6442847, -81.4694517)
RONCY TO NEVILLE PARK|(43.6737566, -79.2815422)
BROADVIEW STATION LOOP|(43.6769104, -79.3581849)
RONCY TO HUMBER LOOP|(43.631195, -79.47850799999999)
SPADINA AVE. AND RICHMOND ST.|(43.6478518, -79.3961211)
RONCY TO HUMBER|(43.7288232, -79.6065799)
DUNDAS ST. WEST AND HURON ST.|(43.653332, -79.3961386)
COLLEGE AT BATHURST|(43.6563176, -79.4078743)
BATHURST AND WELLINGTON|(43.6426297, -79.4021618)
SPADINA AND QUEEN QUAY LOOP|(43.6487579, -79.396276)
THE QUEENSWAY AND RONCESVALLES AVENUE|(43.6387919, -79.4461334)
KING/SPADINA|(nan, nan)
ST CLAIR AND DEER PARK CR|(43.687346, -79.3980646)
JOHN-SPADINA|(43.6527581, -79.398087)
SPADINA NORTH OF COLLEGE|(43.6527581, -79.398087)
QUEEN AT ABELL|(43.6430858, -79.4243611)
KING AT JAMESON|(43.637178, -79.436008)
RONCESVALLES AND QUEEN STREET|(43.644334, -79.4180164)
ST CLAIR WEST STN - EXITING|(43.6770883, -79.4465923)
THE QUEENSWAY / SOUTH KINGSWAY|(43.6253329, -79.5072058)
RUSSELL CARHOUSE|(nan, nan)
HOWARD PARK AND DUNDAS WEST|(43.6521208, -79.4480955)
BATHURST AND COLLEGE|(43.65418, -79.4071017)
BROADVIEW-QUEEN|(nan, nan)
QUEEN AT LESLIE|(nan, nan)
KING/DOWLING|(nan, nan)
KING/BAY|(43.6466166, -79.37876109999999)
ST CLAIR AT KEELE|(43.672473, -79.4675352)
EDNA AND DUNDAS|(43.657274, -79.4526928)
DUNDAS W. STATION|(nan, nan)
QUEENSWAY AT HUMBER LOOP|(43.631195, -79.47850799999999)
DUNDAS W STATION|(nan, nan)
SPADINA STATIOM|(43.6671711, -79.40435339999999)
FLEET/BATHURST|(43.893229, -79.4693962)
KING AND FRASER|(nan, nan)
CARLTON AND PARLIAMENT|(nan, nan)
KING AND TRINITY|(nan, nan)
PARLAMENT/DUNDAS|(43.659693, -79.36574399999999)
YONGE/DUNDAS|(43.6560811, -79.3801714)
DOVERCORT/DUNDAS|(43.6497742, -79.4305102)
\|(nan, nan)
QUEEN AT KINGSTON|(44.2298667, -76.4956259)
BINGHAM LOOP|(43.681553, -79.284714)
PARLIAMENT TO DWS|(nan, nan)
QUEEN STREET TO BS|(43.644334, -79.4180164)
GERRARD/BROADVIEW|(43.6654831, -79.35263359999999)
PAPE AVENUE|(43.677411, -79.3442546)
JOHN STREET TO DUFFERIN|(43.837853, -79.4819486)
QUEEN AT NEVILLE RD|(nan, nan)
LAKESHORE AT MIMICO|(43.6137022, -79.4893613)
LAKESHORE AT ISLINGTON|(43.6007796, -79.50525449999999)
QUEEN AT CHURCH|(nan, nan)
THE QUEENSWAY AND WINDERMERE AVE.|(43.6373075, -79.47000729999999)
QUEEN STREET TO DWS|(43.644334, -79.4180164)
MAIN STN|(43.6889948, -79.301919)
KING ST WEST AND FRASER|(43.7363831, -79.3449304)
QUEENSWAY AND ELLIS DR|(43.6253329, -79.5072058)
QUEEN AT PALMERSTON|(43.6466822, -79.4065344)
OAKWOOD TO GUNNS LOOP BOTH DIRECTIONS|(43.671913, -79.47184)
WILSON PK AVE|(43.6379703, -79.4419104)
BROADVIEW AVE TO RONCY|(43.6729037, -79.3557688)
WARDEN AVE & FAIFFOX AVE|(43.7161789, -79.28283569999999)
KING AND RIVER|(nan, nan)
LAKE SHORE BLVD. AND 23RD ST.|(43.5971299, -79.5217804)
QUEEN ST. EAST AND MACLEAN AVE.|(43.6719385, -79.29102329999999)
KING AT DUFFERIN|(43.638954, -79.4273614)
RONCY YARD.|(nan, nan)
RONCEVALLES GARAGE|(43.6464617, -79.4435762)
BROADVIEW AND AND QUEEN|(43.6729037, -79.3557688)
KING AND RONCEVALLES|(43.6387919, -79.4461334)
BROADVIEW/GERRARD|(43.6654831, -79.35263359999999)
QUEENSQUAY AND SPADINA|(43.6487579, -79.396276)
QUENN AT RONCESVALLES|(43.6464617, -79.4435762)
QUEEN AT COXWELL|(43.6638405, -79.3250108)
KING/JAMESON|(nan, nan)
KING/GARDEN|(39.981227, -82.0198861)
DUNDAS AND BEVERLEY|(43.6538153, -79.39381809999999)
KING/SIMCOE|(nan, nan)
DUNDAS AND MCCAUL|(43.6543129, -79.39143779999999)
QUEEN AT LOGAN|(-41.1229669, 175.073676)
ST CLAIR & BATHURST|(43.6841497, -79.4191079)
ST CLAIR & WINONA|(43.680195, -79.4324721)
SPADINA STATION SPARE TRACK|(43.6671711, -79.40435339999999)
BROADVIEW AND QUENN|(43.6729037, -79.3557688)
KING AND TRILLER AVENUE|(43.6376589, -79.44365760000001)
QUEENS QUAY / SPADINA|(43.6487579, -79.396276)
KING AND SIMCOE|(43.6473808, -79.3860819)
QUEEN QUAY/ SPADINA|(43.6487579, -79.396276)
COXWELL/QUEEN|(nan, nan)
PARLIAMENT TO NEVILLE|(nan, nan)
ST CLAIR WEST STN|(43.6841895, -79.4154172)
BATHURST ST. AND COLLEGE ST.|(43.6564647, -79.4077012)
COXWELL AVE AND LOWER GERRARD|(43.6819241, -79.3229987)
MAIN ST AND DANFORTH AVE|(43.6881561, -79.3018044)
BROADVIEW AVE AND QUEEN ST|(43.6588705, -79.3498245)
BROADVIEW AVE AND DANFORTH AVE|(43.6762135, -79.3588475)
DUFFERIN LOOP|(43.63439899999999, -79.425873)
OAKWOOD AND ST CLAIR|(43.6794987, -79.4358172)
BRDV STN|(51.8860181, 0.2388661)
GREENWOOD/GERRARD|(43.682552, -79.330353)
KING/QUEEN|(nan, nan)
YONGE/CARLTON|(43.660225, -79.382368)
YONGE & CARLTON|(43.6613798, -79.383101)
JARVIS / CARLTON|(43.6597077, -79.3755739)
RONCESVALLES/QUEEN|(43.6406044, -79.4366461)
YONGE STREET TO NEVILLE|(43.9120105, -79.4467502)
KING AT BLUE JAYS WAY|(43.6437748, -79.391385)
QUEEN AND AGUSTA|(43.6480658, -79.39964859999999)
UNION STATION|(nan, nan)
WINONNA AND ST CLAIR|(43.680195, -79.4324721)
CANNAUGHT / QUEEN ST. E|(43.6650248, -79.32236)
CHURCH STREET TO BS|(nan, nan)
QUEEN AT BAY|(43.6518897, -79.38173239999999)
RIVER STREET TO DWS|(nan, nan)
QUEEN/KING|(nan, nan)
BATHURST AND VAUGHAN|(43.6810659, -79.41747939999999)
LAKESHORE AT BROOKERS LANE|(43.6273081, -79.4790374)
QUEEN AT BATHURST|(43.6471969, -79.4039809)
SPADINA AND QUEENS QUAY LOOP|(43.6487579, -79.396276)
QUEENS QUAY AND SPADINA|(43.6487579, -79.396276)
SPADINA AND BREMNER|(43.6405651, -79.3928444)
ST CLAIR AND AVENUE ROAD|(43.6865435, -79.40145729999999)
QUEEN AT PETER|(43.6493175, -79.3936437)
KING AT DUNCAN|(nan, nan)
CONNAUGHT & QUEEN TO NEVILLE LOOP|(43.6737566, -79.2815422)
CONAUGHT & QUEEN TO NEVILLE LOOP|(43.6737566, -79.2815422)
BROADVIEW AND GERARD|(43.6654831, -79.35263359999999)
BROADVIEW & GERRADE|(43.6654831, -79.35263359999999)
SPADINA AND LAKESHORE|(43.6385364, -79.39212959999999)
BATHURST AND HARBOURD|(43.6615246, -79.40975590000001)
QUEEN AND YORK|(43.651199, -79.3849089)
QUEEN AT EMPIRE|(nan, nan)
QUEEN & EMPIRE|(nan, nan)
LAKESHORE AT ROYAL YORK|(43.60367, -79.4931515)
RONCESVALLES/DUNDAS|(43.6502487, -79.4410384)
DUNDAS WEST / BLOOR TO LANSDOWN|(43.6426178, -79.53223059999999)
BATHURST AND BATHURST STN|(43.6660011, -79.4112152)
BRODAVIEW STATION|(43.6769104, -79.3581849)
ST. CLAIR/RUSSELL HILL|(43.685275, -79.407826)
ELIZABETH AND COLLEGE|(nan, nan)
MCCAUL AND COLLEGE|(43.6548028, -79.3916383)
LONG BRANCH TO HUMBER LOOP|(43.631195, -79.47850799999999)
DUFFERIEN/DUNDAS|(43.6496251, -79.4314243)
QUEEN AT PAPE.|(43.677411, -79.3442546)
COXWELL AND GERARD|(43.6753569, -79.32028249999999)
QUEEN AT JONES|(nan, nan)
GERARD AND COXWELL|(43.6753569, -79.32028249999999)
QUEEN AT DUNN|(43.6410416, -79.4345264)
BROADVIEW STN TO DWS|(43.6769104, -79.3581849)
RONCY TO DWS|(nan, nan)
SPADINA AND HARBOUR|(43.6630939, -79.4020097)
BATHURST& ULSTER|(43.6598108, -79.409058)
BOUSTEAD|(nan, nan)
BROADVIEW AND DANFORTH|(43.6762135, -79.3588475)
LAKE SHORE BLVD AND BURLINGTON ST.|(43.617302, -79.487344)
BRAODVIEW STATION|(43.6769104, -79.3581849)
RONCESVALLES AND HIGH PARK|(43.6463098, -79.4490457)
GERRARD/SUMACK|(nan, nan)
COLLEGE/YONGE|(nan, nan)
COLLEGE-BAY|(43.6569603, -79.3842244)
QUEEN AT BOULTON|(43.8741995, -79.7306602)
QUEEN AT JOHN|(43.6498656, -79.3910745)
CHURCH STREET TO RONCY|(nan, nan)
PARLIAMENT AT QUEEN|(nan, nan)
KING AND SUMACH|(43.6616959, -79.3609096)
BATHURST &KING|(44.0386638, -79.5011665)
SPADINA/QUEENSQUAY|(43.6487579, -79.396276)
SPENCER AVE TO DWS|(43.6360657, -79.4300667)
LAKESHORE AT PARKLAWN|(43.6229412, -79.48128059999999)
DWS TO RONCY|(nan, nan)
QUEEN ST. WEST AND UNIVERSITY AVE.|(43.6508639, -79.3864337)
NASSAU AND BATHURST|(43.6542889, -79.4068205)
KING STREET W AND SPADINA AVE|(43.64550450000001, -79.39492159999999)
QUEENSWAY AT WINDERMERE|(43.6371955, -79.4698445)
KINGSTON AT MAIN ST|(43.6789004, -79.29801770000002)
KING AND DURO|(nan, nan)
PAPE/QUEEN|(nan, nan)
QUEEN ST (KINGSTON RD TO NEVILLE PARK)|(43.6737566, -79.2815422)
QUEENSWAY AT RONCESVALLES|(43.6387919, -79.4461334)
QUEEN AT SIMCOE|(43.6506493, -79.38743509999999)
ST CLAIR STN|(43.6874845, -79.3930467)
KING/DUFFERIN|(43.9586389, -79.5106437)
EARLSCOURT LOOP|(43.675983, -79.451027)
QUEEN AT BEACONSFIELD|(43.6429955, -79.4247666)
DUNDAS  AN OSSINGTON|(43.6493394, -79.4207678)
SHAW AT KING|(43.6414282, -79.4149971)
ST CLAIR & OAKWOOD|(43.6794987, -79.4358172)
LAKESHORE AT 39TH|(43.5928736, -79.5405972)
LAKESHORE AT KIPLING|(43.5982045, -79.5169695)
SPADINA AND DUNDAS|(43.65291269999999, -79.39815469999999)
LAKE SHORE BLVD AND 37TH ST.|(43.5934222, -79.5381821)
BATHURST AND BRIDGEMAN|(43.6743307, -79.4148223)
DUNDAS/SPADINA|(43.65291269999999, -79.39815469999999)
SULLIVAN/SPADINA|(43.6527581, -79.398087)
STRACHAN TO DWS|(nan, nan)
QUEEN STREET|(43.644334, -79.4180164)
QUEEN AT PAPE AVE|(43.677411, -79.3442546)
SHAW STREET TO BROADVIEW STN|(43.6573352, -79.421207)
BATHDUST AND FLEET|(43.6367945, -79.3998864)
LONG BRANCH TO HUMBER|(40.30427780000001, -73.9923596)
QUEEN STREET TO BROADVIEW STN|(43.6769104, -79.3581849)
QUEEN ST. WEST AND JARVIS ST.|(43.653716, -79.3732461)
THE QUEENSWAY AND RONCESVALLES AVE.|(43.6387919, -79.4461334)
KING AT YONGE|(43.944926, -79.4548025)
QUEEN AT GLADSTONE|(43.6425333, -79.4271162)
QUEENS QUAY|(43.6382515, -79.3895182)
CARLTON AND SHERBOURNE|(43.661228, -79.3722185)
RICHMOND/SPADINA|(43.6477238, -79.3963574)
OSSINGTON/DUNDAS|(43.6493394, -79.4207678)
DVP, AND DUNDAS|(43.7076341, -79.3312244)
LEWIS AND QUEEN - JUST EAST OF BROADVIEW|(nan, nan)
BROCK AND QUEEN - E/W BOUND|(nan, nan)
DWS TO QUEEN STREET|(43.644334, -79.4180164)
ST CLAIR & YONGE|(43.6872114, -79.3979925)
BRANT STREET|(43.6462197, -79.3981256)
PARLIAMENT|(nan, nan)
BEVERLY/DUNDAS|(nan, nan)
ST CLAIR WEST STN ENTRANCE|(43.6770883, -79.4465923)
SHAW STREET|(43.6573352, -79.421207)
GREENWOOD AND CANNAUGHT AVENUE|(43.7869282, -79.4288568)
QUEEN STREET AND PARLIAMENT STREET|(43.65560010000001, -79.3644429)
LAKE SHORE AND PARK LAWN|(43.6229412, -79.48128059999999)
QUEEN AND GREENWOOD AVENUE|(43.6801399, -79.3318068)
LAKE SHORE AND 22ND STREET|(43.5972324, -79.52131829999999)
QUEEN AND KINGSTON|(43.6512846, -79.382263)
BATHURST & DUNDAS|(43.6522958, -79.4060126)
BATHURST STREET|(43.893229, -79.4693962)
PARLIAMENT TO BROADVIEW STN|(43.6769104, -79.3581849)
SPADINA AND RICHMOND STREET|(43.6478518, -79.3961211)
QUEEN AT JARVIS|(nan, nan)
SPADINA &KING|(43.64550450000001, -79.39492159999999)
KING AT PETER|(nan, nan)
FROM MAIN TO HIGH PARK|(43.64654789999999, -79.4636903)
QUEEN AND GLADSTONE AVENUE|(43.6425333, -79.4271162)
DUNDAS AT MCCAUL|(43.6543129, -79.39143779999999)
DUNDAS WEST|(43.5694532, -79.6289385)
HUMBER LOOP SPARE TRACK|(43.631195, -79.47850799999999)
LAKESHORE AND BURLINGTON|(43.617302, -79.487344)
COLLEGE AND YONGE|(43.6613798, -79.383101)
HUMBER LOOP (SPARE TRACK)|(43.631195, -79.47850799999999)
PARLIAMENT AND DUNDAS|(43.6594276, -79.36599559999999)
QUEEN AND DUFFERIN|(43.642226, -79.4286137)
BATHURST STREET AND FLEET STREET|(43.6367945, -79.3998864)
QUEEN AND LESLIE STREET|(43.7650592, -79.3619898)
RONCESVALLES CARHOUSE.|(43.6393154, -79.4466387)
QUEENS|(40.7282239, -73.7948516)
YORK|(53.9614205, -1.0739108)
KING AND YORK|(43.6479288, -79.38354919999999)
BATHURST STREET TO BROADVIEW STN|(43.893229, -79.4693962)
DUFFERIN|(44.0527524, -80.1875065)
DWS|(nan, nan)
GERRARD AND GREENWOOD|(43.6709006, -79.32799810000002)
QUEEN AT YONGE|(43.9120105, -79.4467502)
FLEET & BATHURST|(43.6367945, -79.3998864)
QUEEN QUAY AND DAN LECKIE|(43.6366169, -79.39667659999999)
MAIN STATION AND BATHURST STREET|(43.893229, -79.4693962)
KINGSTON AND QUEEN|(nan, nan)
CHURCH AND QUEEN|(nan, nan)
KING/PARLIAMENT|(43.65420599999999, -79.36097459999999)
ST. CLAIR STN|(43.6874845, -79.3930467)
WESTBOUND COLLEGE AT OSSINGTON|(43.6595215, -79.4246695)
RONCY CARHOUSE|(nan, nan)
BROADVIEW-WOLFREY|(43.6769104, -79.3581849)
KING/DUORO|(41.50561058101842, -5.492254831585304)
ST CLAIR @ GUNNS LOOP|(43.6718533, -79.4711359)
RONCESVALLES/HOWARD PARK|(43.6517158, -79.4499736)
HOWARD PARK JUST WEST OF DUNDAS|(43.26650890000001, -79.9568685)
ST. CLAIR AND VAUGHN|(43.6827095, -79.4200063)
BROADVIEW SOUTH OF GERRARD|(43.6708856, -79.3280752)
ST CLAIR STATION|(43.6874845, -79.3930467)
QUEEN AT MCCAUL|(43.6501631, -79.3896872)
RONCEVALLES CARHOUSE|(43.6393154, -79.4466387)
QUEEN AT WINEVA|(43.67084, -79.2954013)
SPADINA AND FRONT|(43.6427164, -79.39403539999999)
RONCY AND HOWARD PK AVE|(43.6510456, -79.4533658)
GERRARD AND  BROADVIEW|(43.6654831, -79.35263359999999)
BATHURST & KING|(43.64390350000001, -79.4026703)
TRINITY TO BROADVIEW STN|(43.6769104, -79.3581849)
DUNDAS TO BROADVIEW STN|(43.6562811, -79.380459)
JARVIS STREET TO DWS|(43.6597077, -79.3755739)
QUEEN AT KING STREET WEST (DON BRIDGE)|(43.8751715, -79.7439681)
